sentence1	sentence2	simalarty
"Am 10. August 2021 beginnt der Mordprozess um den „Kannibalen von Pankow“
vor dem <Entity>Berliner Landgericht</Entity>."	"Mantrailer-Hunde führten zu der Wohnung des Lehrers für Mathematik und Chemie an einer
<Entity>Pankower Sekundarschule</Entity>."	0
<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	0
"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
<Entity>Bodemuseum</Entity>, Grünes Gewölbe Dresden)."	"Polizei sucht Spione  
aus dem Grünen <Entity>Gewölbe</Entity>"	0
"Clan-Boss Nasser Rammou (44, trotz anderer Schreibweise gehört er zum
berüchtigten <Entity>Remmo</Entity>-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	"Urteil nach brutalen Angriffen auf Tschetschenen in Berlin
Nasser <Entity>Rammou</Entity>"	0
"Die Bundesanwaltschaft wirft der jungen Frau aus <Entity>Breitenbach bei Sangerhausen</Entity> vor,
Mitglied einer ausländischen Terrororganisation gewesen zu sein."	"Im Jahr 2015 hatte sich die 15-jährige Leonora M. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach <Entity>Syrien</Entity> aus und schloss sich dem Islamischen Staat an."	0
<Entity>Leonora M</Entity>. mit ihrer Tochter in Syrien	Der Generalbundesanwalt hat die ISIS-Rückkehrerin <Entity>Leonora M. (21</Entity>) aus Sachsen-	1
"Der Verdacht fiel schnell auf <Entity>Mario B</Entity>., sieben Monate später begann der
Totschlags-Prozess gegen ihn."	"Es ist der 6. Februar 2018, eine Wohnung in der Falkenberger Chaussee (Berlin-
Hohenschönhausen). Gerrit <Entity>S. (39</Entity>) liegt halbtot in seinem Blut."	0
"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	0
Bei der Razzia im Juni wurde diese <Entity>Villa in Leverkusen</Entity> durchsucht, es kam zu mehreren Festnahmen	"Mit einem Polizei-Panzer rammten sie unter anderem den Zugang zur <Entity>Villa in
Leverkusen</Entity> auf, sprengten die Eingangstür."	1
"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes <Entity>Gewölbe</Entity> Dresden)."	"Die
Angriffe seien „Vergeltung und Selbstjustiz“ gewesen für einen kurz zuvor erfolgten Streit an
seinem Kiosk <Entity>in</Entity> der Wildenbruchstraße (Neukölln)."	0
"Die inzwischen frühpensionierten Polizisten rasten rückwärts in das Schaufenster dieses <Entity>Bamberger
Juweliers</Entity>"	Felix B. in Schutzkleidung der <Entity>Berliner Polizei</Entity>	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	0
"Die Leiche des Opfers soll der Deutsche anschließend noch in seiner Wohnung zerteilt und
die Leichenteile an verschiedenen Orten <Entity>in Berlin</Entity> abgelegt haben."	"Nach Informationen aus Justizkreisen wirft die Berliner
Staatsanwaltschaft Lehrer Stefan R. (41) aus <Entity>Pankow</Entity> einen Sexualmord aus niedrigen
Beweggründen vor."	0
"Edith Blum soll am 13. Januar im Bereich der <Entity>Treveris-</Entity>Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
<Entity>Luxemburger Straße in Trier (Rheinland-Pfalz</Entity>)."	0
"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	0
"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes <Entity>Gewölbe</Entity> Dresden)."	"Urteil nach brutalen Angriffen auf Tschetschenen in <Entity>Berlin</Entity>
Nasser Rammou"	0
"Am 20. Dezember 2015 soll er Jean W. (52) in einer Wohnung <Entity>in der Dolgenseestraße
(Berlin-Lichtenberg</Entity>) attackiert haben."	"Es ist der 6. Februar 2018, eine Wohnung in der <Entity>Falkenberger Chaussee (Berlin-
Hohenschönhausen</Entity>). Gerrit S. (39) liegt halbtot in seinem Blut."	0
<Entity>Mohamed M. (33</Entity>, li.) soll der Komplize vom Überfall auf die ältere Seniorin (93) gewesen sein.	Auf der Anklagebank: <Entity>Aberrahmane M. (24</Entity>) aus Tunesien und Mestafa B. (17) aus Algerien.	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	0
"Der Afrikaner reiste im März 2015 als Flüchtling nach
Deutschland ein, lebte zunächst im <Entity>Rhein-Hunsrück</Entity>-Kreis."	"Edith Blum soll am 13. Januar im Bereich der <Entity>Treveris-</Entity>Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	0
"Am 8. November 2020 fanden Spaziergänger im Buchholzer Graben/Ecke Schönerlinder
<Entity>Straße</Entity> einen männlichen Oberschenkelknochen ohne Gewebe."	"Nach Informationen aus Justizkreisen wirft die Berliner
Staatsanwaltschaft Lehrer Stefan R. (41) aus <Entity>Pankow</Entity> einen Sexualmord aus niedrigen
Beweggründen vor."	0
"Anfang Juni stürmte die Polizei die <Entity>Al-Zein-Villa in Leverkusen</Entity>,
verhaftete vier Clan-Mitglieder."	"Mit einem Polizei-Panzer rammten sie unter anderem den Zugang zur <Entity>Villa in
Leverkusen</Entity> auf, sprengten die Eingangstür."	1
"Der Torso des Monteurs wurde am 23. November 2020 in einer <Entity>Pankower Grünanlage</Entity>
gefunden."	"Er soll am 6. September 2020 den Hochleitungsbau-Monteur Stefan T. (44) aus <Entity>Lichtenberg</Entity>
getötet haben."	0
Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	0
Der 7. November 2020, <Entity>Bahnhof Gesundbrunnen (Wedding</Entity>).	"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes <Entity>Gewölbe</Entity> Dresden)."	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	0
"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	0
Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	0
"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	0
"Der Haupt-Tatverdächtige <Entity>Badia Al-Zein</Entity> und sein älterer Sohn Sehmus (28) sitzen weiter
in U-Haft."	"Jetzt kam der jüngere Sohn <Entity>Mohamed (24</Entity>) aus der U-Haft
frei!"	0
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
"Der gelernte Schweißer hatte sich bereits 2014
nach <Entity>Syrien</Entity> abgesetzt und war in der Hierarchie der Terrororganisation aufgestiegen."	"Die Bundesanwaltschaft wirft der jungen Frau aus <Entity>Breitenbach bei Sangerhausen</Entity> vor,
Mitglied einer ausländischen Terrororganisation gewesen zu sein."	0
"Am 8. November 2020 fanden Spaziergänger im <Entity>Buchholzer Graben/Ecke</Entity> Schönerlinder
Straße einen männlichen Oberschenkelknochen ohne Gewebe."	"Die Leiche des Opfers soll der Deutsche anschließend noch in seiner Wohnung zerteilt und
die Leichenteile an verschiedenen Orten <Entity>in Berlin</Entity> abgelegt haben."	0
Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	0
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	0
Er könne das Urteil anfechten, belehrte ihn Richter <Entity>Schwanitz</Entity>.	"Urteil nach brutalen Angriffen auf Tschetschenen in Berlin
Nasser <Entity>Rammou</Entity>"	0
"<Entity>Julius Everling</Entity> begründet: „Ich gebe Ihnen die
Chance, sich selbst zu stellen zur Strafverbüßung.“"	"„Das Video aus der Dashcam erinnert an das Videospiel Fast&Furious“, sagt <Entity>Andreas
Winkelmann (55</Entity>)."	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	0
"<Entity>Mario B</Entity>. soll ihn während eines
Trinkgelages mit der Faust zu Boden gebracht und ihm dann bis zu acht Mal mit „stampfenden
Ausholbewegungen“ und schweren Stahlkappen-Schuhen auf den Kopf getreten haben."	"Es ist der 6. Februar 2018, eine Wohnung in der Falkenberger Chaussee (Berlin-
Hohenschönhausen). Gerrit <Entity>S. (39</Entity>) liegt halbtot in seinem Blut."	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Der Afrikaner reiste im März 2015 als Flüchtling nach
Deutschland ein, lebte zunächst im <Entity>Rhein-Hunsrück</Entity>-Kreis."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
<Entity>Luxemburger Straße in Trier (Rheinland-Pfalz</Entity>)."	0
"Beide sollen dann
zur Kreisverkehr-Baustelle am Kopf der <Entity>Römerbrücke in Trier-West</Entity> gegangen sein, um zu
Alkohol zu trinken."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
<Entity>Luxemburger Straße in Trier (Rheinland-Pfalz</Entity>)."	0
Das berichtet die in Halle erscheinende <Entity>Mitteldeutsche Zeitung</Entity> (Mittwochsausgabe).	"Im Jahr 2015 hatte sich die 15-jährige Leonora M. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach Syrien aus und schloss sich dem <Entity>Islamischen Staat</Entity> an."	0
"Er ist so schwerkriminell, dass er seit der letzten Haftentlassung im Februar 2018 eine
elektronische Fußfessel tragen muss (passiert selten in <Entity>Deutschland</Entity>)."	"Urteil nach brutalen Angriffen auf Tschetschenen in <Entity>Berlin</Entity>
Nasser Rammou"	0
"Die
nun angeklagte <Entity>Leonora M</Entity>. soll laut Ermittlern seine Drittfrau gewesen sein."	"Laut eines Haftbefehls gegen <Entity>M</Entity>. aus dem Jahr 2020 soll ihr Ehemann 2015 eine Frau als
Sklavin gekauft haben, um diese zusammen mit ihren zwei Kindern „gewinnbringend“
weiterzuverkaufen."	1
"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	1
"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	0
"Am 8. November 2020 fanden Spaziergänger im <Entity>Buchholzer Graben/Ecke</Entity> Schönerlinder
Straße einen männlichen Oberschenkelknochen ohne Gewebe."	"Er soll am 6. September 2020 den Hochleitungsbau-Monteur Stefan T. (44) aus <Entity>Lichtenberg</Entity>
getötet haben."	0
"<Entity>Mario B</Entity>. wird festgenommen und kommt
in Untersuchungshaft."	"Der Verdacht fiel schnell auf <Entity>Mario B</Entity>., sieben Monate später begann der
Totschlags-Prozess gegen ihn."	1
"<Entity>Edith Blum</Entity> soll am 13. Januar im Bereich der Treveris-Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	"Gegen 22 Uhr traf sie in der Nähe der
Obdachlosenunterkunft „Benedikt-<Entity>Labre</Entity>-Haus“ auf den Angeschuldigten."	0
"Der Afrikaner reiste im März 2015 als Flüchtling nach
<Entity>Deutschland</Entity> ein, lebte zunächst im Rhein-Hunsrück-Kreis."	"Edith Blum soll am 13. Januar im Bereich der <Entity>Treveris-</Entity>Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	0
"Trotzdem verlässt <Entity>Halil G. (41</Entity>) als freier Mann die
Untersuchungshaft"	"„Das Video aus der Dashcam erinnert an das Videospiel Fast&Furious“, sagt <Entity>Andreas
Winkelmann (55</Entity>)."	0
"Im Jahr 2015 hatte sich die 15-jährige <Entity>Leonora M</Entity>. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach Syrien aus und schloss sich dem Islamischen Staat an."	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: <Entity>Martin
Lemke (30</Entity>) aus Zeitz (Burgenlandkreis)."	0
"Das <Entity>Landgericht</Entity> habe inzwischen einem Antrag der Staatsanwaltschaft auf
Wiederaufnahme des Verfahrens als zulässig erachtet, sagte ein Gerichtssprecher."	"Weil der
31-Jährige Beschwerde einlegte, müsse nun das <Entity>Kammergericht</Entity> entscheiden."	0
Das berichtet die in <Entity>Halle</Entity> erscheinende Mitteldeutsche Zeitung (Mittwochsausgabe).	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus <Entity>Zeitz (Burgenlandkreis</Entity>)."	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	0
Der Staat wurde im Grundbuch der <Entity>Villa</Entity> direkt nach der Sparkasse Leverkusen eingetragen.	Einer der Söhne wurde aus der <Entity>Villa</Entity> geführt	1
"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	0
"Aber nicht <Entity>Felix B.
(31</Entity>) und sein Kollege David S. (31)!"	„Es ging uns um den Kick“, begründet <Entity>David S. (31</Entity>) die Überfälle	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	0
"Clan-Boss Nasser Rammou (44, trotz anderer Schreibweise gehört er zum
berüchtigten <Entity>Remmo</Entity>-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	„Das ist als rassistische Tat zu werten“, sagt Amtsrichter <Entity>Carsten Schwanitz</Entity>.	0
"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	0
"Die
nun angeklagte <Entity>Leonora M</Entity>. soll laut Ermittlern seine Drittfrau gewesen sein."	"Generalbundesanwalt klagt
ISIS-Braut <Entity>Leonora M</Entity>. an"	1
"Es ist der 6. Februar 2018, eine Wohnung in der Falkenberger Chaussee (Berlin-
Hohenschönhausen). Gerrit <Entity>S. (39</Entity>) liegt halbtot in seinem Blut."	Neben dem aktuellen Prozess könnte ein älterer gegen <Entity>Mario B</Entity>. wieder aufgenommen werden.	0
"Beide sollen dann
zur Kreisverkehr-Baustelle am Kopf der <Entity>Römerbrücke in Trier-West</Entity> gegangen sein, um zu
Alkohol zu trinken."	"Der Afrikaner reiste im März 2015 als Flüchtling nach
Deutschland ein, lebte zunächst im <Entity>Rhein-Hunsrück</Entity>-Kreis."	0
"Clan-Boss <Entity>Nasser Rammou (44</Entity>, trotz anderer Schreibweise gehört er zum
berüchtigten Remmo-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	"Urteil nach brutalen Angriffen auf Tschetschenen in Berlin
Nasser <Entity>Rammou</Entity>"	0.8
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	0
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	0
<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	1
"Der Afrikaner reiste im März 2015 als Flüchtling nach
Deutschland ein, lebte zunächst im <Entity>Rhein-Hunsrück</Entity>-Kreis."	"Edith Blum soll am 13. Januar im Bereich der Treveris-Passage <Entity>in der Innenstadt von Trier</Entity> mit
mehreren Leuten Alkohol getrunken haben."	0
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
Am Donnerstag begann der Prozess gegen <Entity>Mario B. (31</Entity>) am Berliner Landgericht.	"Der Verdacht fiel schnell auf <Entity>Mario B</Entity>., sieben Monate später begann der
Totschlags-Prozess gegen ihn."	1
"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
<Entity>Bodemuseum</Entity>, Grünes Gewölbe Dresden)."	"Urteil nach brutalen Angriffen auf Tschetschenen in <Entity>Berlin</Entity>
Nasser Rammou"	0
"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	0
"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	0
Dann habe er selbst mit dem Hammer zugeschlagen, sagte <Entity>Werner M</Entity>.	"Im Jahr 2017 hatte der 53-jährige <Entity>Werner M</Entity>. in Berlin-Pankow seinen
Nachbar Christian N. (68) mit einem Hammer erschlagen und die Leiche teilweise zerteilt."	1
Der Generalbundesanwalt hat die ISIS-Rückkehrerin <Entity>Leonora M. (21</Entity>) aus Sachsen-	"Die
nun angeklagte <Entity>Leonora M</Entity>. soll laut Ermittlern seine Drittfrau gewesen sein."	1
